Group,Trait,House and Planets,Status,Points
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Sun (identity & leadership),Sun weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Sun (identity & leadership),Sun very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Mars (drive & execution),Mars very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Mars (drive & execution),Mars strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Mars (drive & execution),Mars weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Mars (drive & execution),Mars very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Independence / Self-Motivation,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Adaptability & Flexibility,Base,Base,5
Mental Growth & Adaptability Trait,Adaptability & Flexibility,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Adaptability & Flexibility,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Adaptability & Flexibility,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Adaptability & Flexibility,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Adaptability & Flexibility,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Adaptability & Flexibility,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Adaptability & Flexibility,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Adaptability & Flexibility,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Strong Work Ethic,Base,Base,5
Work & Collaboration Trait,Strong Work Ethic,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Strong Work Ethic,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Work & Collaboration Trait,Strong Work Ethic,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Strong Work Ethic,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Strong Work Ethic,Mars (drive & execution),Mars very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Strong Work Ethic,Mars (drive & execution),Mars strong or benefic-supported for this trait,1
Work & Collaboration Trait,Strong Work Ethic,Mars (drive & execution),Mars weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Strong Work Ethic,Mars (drive & execution),Mars very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Strong Work Ethic,6th house & lord (daily work/service),6H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Strong Work Ethic,6th house & lord (daily work/service),"6H lord average, some benefic support",1
Work & Collaboration Trait,Strong Work Ethic,6th house & lord (daily work/service),6H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Strong Work Ethic,6th house & lord (daily work/service),6H lord debilitated & heavily afflicted,-2
Work & Collaboration Trait,Strong Work Ethic,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Strong Work Ethic,10th house & lord (career/status),"10H lord average, some benefic support",1
Work & Collaboration Trait,Strong Work Ethic,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Strong Work Ethic,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Work & Collaboration Trait,Strong Work Ethic,Lagna & lord (core nature),Lagna strong & well supported,1
Work & Collaboration Trait,Strong Work Ethic,Lagna & lord (core nature),Lagna weak or afflicted,-1
Personal Character & Ethics Trait,Positive Attitude,Base,Base,5
Personal Character & Ethics Trait,Positive Attitude,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Positive Attitude,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Positive Attitude,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Positive Attitude,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Positive Attitude,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Positive Attitude,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Positive Attitude,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Positive Attitude,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Positive Attitude,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Positive Attitude,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Positive Attitude,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Positive Attitude,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Positive Attitude,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Positive Attitude,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Positive Attitude,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Positive Attitude,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Risk Taking Ability,Base,Base,5
Work & Collaboration Trait,Risk Taking Ability,Mars (drive & execution),Mars very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Risk Taking Ability,Mars (drive & execution),Mars strong or benefic-supported for this trait,1
Work & Collaboration Trait,Risk Taking Ability,Mars (drive & execution),Mars weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Risk Taking Ability,Mars (drive & execution),Mars very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Risk Taking Ability,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Risk Taking Ability,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Work & Collaboration Trait,Risk Taking Ability,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Risk Taking Ability,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Risk Taking Ability,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Risk Taking Ability,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Work & Collaboration Trait,Risk Taking Ability,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Risk Taking Ability,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Risk Taking Ability,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Risk Taking Ability,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Work & Collaboration Trait,Risk Taking Ability,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Risk Taking Ability,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Risk Taking Ability,3rd house & lord (effort/communication),3H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Risk Taking Ability,3rd house & lord (effort/communication),"3H lord average, some benefic support",1
Work & Collaboration Trait,Risk Taking Ability,3rd house & lord (effort/communication),3H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Risk Taking Ability,3rd house & lord (effort/communication),3H lord debilitated & heavily afflicted,-2
Work & Collaboration Trait,Risk Taking Ability,5th house & lord (intellect/creativity),5H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Risk Taking Ability,5th house & lord (intellect/creativity),"5H lord average, some benefic support",1
Work & Collaboration Trait,Risk Taking Ability,5th house & lord (intellect/creativity),5H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Risk Taking Ability,5th house & lord (intellect/creativity),5H lord debilitated & heavily afflicted,-2
Work & Collaboration Trait,Risk Taking Ability,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Risk Taking Ability,10th house & lord (career/status),"10H lord average, some benefic support",1
Work & Collaboration Trait,Risk Taking Ability,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Risk Taking Ability,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Teamwork & Collaboration,Base,Base,5
Emotional & Relationship Trait,Teamwork & Collaboration,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Teamwork & Collaboration,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Teamwork & Collaboration,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Teamwork & Collaboration,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Teamwork & Collaboration,Venus (love & harmony),Venus very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Teamwork & Collaboration,Venus (love & harmony),Venus strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Teamwork & Collaboration,Venus (love & harmony),Venus weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Teamwork & Collaboration,Venus (love & harmony),Venus very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Teamwork & Collaboration,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Teamwork & Collaboration,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Teamwork & Collaboration,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Teamwork & Collaboration,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Teamwork & Collaboration,11th house & lord (gains/networks),11H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Teamwork & Collaboration,11th house & lord (gains/networks),"11H lord average, some benefic support",1
Emotional & Relationship Trait,Teamwork & Collaboration,11th house & lord (gains/networks),11H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Teamwork & Collaboration,11th house & lord (gains/networks),11H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Teamwork & Collaboration,7th house & lord (partnerships),7H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Teamwork & Collaboration,7th house & lord (partnerships),"7H lord average, some benefic support",1
Emotional & Relationship Trait,Teamwork & Collaboration,7th house & lord (partnerships),7H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Teamwork & Collaboration,7th house & lord (partnerships),7H lord debilitated & heavily afflicted,-2
Mental Growth & Adaptability Trait,Willingness to Learn,Base,Base,5
Mental Growth & Adaptability Trait,Willingness to Learn,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Willingness to Learn,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Willingness to Learn,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Willingness to Learn,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Willingness to Learn,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Willingness to Learn,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Willingness to Learn,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Willingness to Learn,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Willingness to Learn,5th house & lord (intellect/creativity),5H lord strong & well placed (supports this trait),2
Mental Growth & Adaptability Trait,Willingness to Learn,5th house & lord (intellect/creativity),"5H lord average, some benefic support",1
Mental Growth & Adaptability Trait,Willingness to Learn,5th house & lord (intellect/creativity),5H lord weak or placed in 6/8/12,-1
Mental Growth & Adaptability Trait,Willingness to Learn,5th house & lord (intellect/creativity),5H lord debilitated & heavily afflicted,-2
Mental Growth & Adaptability Trait,Willingness to Learn,9th house & lord (dharma/luck),9H lord strong & well placed (supports this trait),2
Mental Growth & Adaptability Trait,Willingness to Learn,9th house & lord (dharma/luck),"9H lord average, some benefic support",1
Mental Growth & Adaptability Trait,Willingness to Learn,9th house & lord (dharma/luck),9H lord weak or placed in 6/8/12,-1
Mental Growth & Adaptability Trait,Willingness to Learn,9th house & lord (dharma/luck),9H lord debilitated & heavily afflicted,-2
Skill & Professional Trait,Technical/Digital Literacy,Base,Base,5
Skill & Professional Trait,Technical/Digital Literacy,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Skill & Professional Trait,Technical/Digital Literacy,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Skill & Professional Trait,Technical/Digital Literacy,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Skill & Professional Trait,Technical/Digital Literacy,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Skill & Professional Trait,Technical/Digital Literacy,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Skill & Professional Trait,Technical/Digital Literacy,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Skill & Professional Trait,Technical/Digital Literacy,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Skill & Professional Trait,Technical/Digital Literacy,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Skill & Professional Trait,Technical/Digital Literacy,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Skill & Professional Trait,Technical/Digital Literacy,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Skill & Professional Trait,Technical/Digital Literacy,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Skill & Professional Trait,Technical/Digital Literacy,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Skill & Professional Trait,Technical/Digital Literacy,3rd house & lord (effort/communication),3H lord strong & well placed (supports this trait),2
Skill & Professional Trait,Technical/Digital Literacy,3rd house & lord (effort/communication),"3H lord average, some benefic support",1
Skill & Professional Trait,Technical/Digital Literacy,3rd house & lord (effort/communication),3H lord weak or placed in 6/8/12,-1
Skill & Professional Trait,Technical/Digital Literacy,3rd house & lord (effort/communication),3H lord debilitated & heavily afflicted,-2
Skill & Professional Trait,Technical/Digital Literacy,6th house & lord (daily work/service),6H lord strong & well placed (supports this trait),2
Skill & Professional Trait,Technical/Digital Literacy,6th house & lord (daily work/service),"6H lord average, some benefic support",1
Skill & Professional Trait,Technical/Digital Literacy,6th house & lord (daily work/service),6H lord weak or placed in 6/8/12,-1
Skill & Professional Trait,Technical/Digital Literacy,6th house & lord (daily work/service),6H lord debilitated & heavily afflicted,-2
Skill & Professional Trait,Technical/Digital Literacy,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Skill & Professional Trait,Technical/Digital Literacy,10th house & lord (career/status),"10H lord average, some benefic support",1
Skill & Professional Trait,Technical/Digital Literacy,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Skill & Professional Trait,Technical/Digital Literacy,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Skill & Professional Trait,Technical/Digital Literacy,11th house & lord (gains/networks),11H lord strong & well placed (supports this trait),2
Skill & Professional Trait,Technical/Digital Literacy,11th house & lord (gains/networks),"11H lord average, some benefic support",1
Skill & Professional Trait,Technical/Digital Literacy,11th house & lord (gains/networks),11H lord weak or placed in 6/8/12,-1
Skill & Professional Trait,Technical/Digital Literacy,11th house & lord (gains/networks),11H lord debilitated & heavily afflicted,-2
Work & Collaboration Trait,Project Management,Base,Base,5
Work & Collaboration Trait,Project Management,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Project Management,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Work & Collaboration Trait,Project Management,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Project Management,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Project Management,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Project Management,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Work & Collaboration Trait,Project Management,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Project Management,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Project Management,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Project Management,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Work & Collaboration Trait,Project Management,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Project Management,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Project Management,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Project Management,10th house & lord (career/status),"10H lord average, some benefic support",1
Work & Collaboration Trait,Project Management,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Project Management,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Skill & Professional Trait,Data Analysis,Base,Base,5
Skill & Professional Trait,Data Analysis,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Skill & Professional Trait,Data Analysis,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Skill & Professional Trait,Data Analysis,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Skill & Professional Trait,Data Analysis,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Skill & Professional Trait,Data Analysis,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Skill & Professional Trait,Data Analysis,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Skill & Professional Trait,Data Analysis,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Skill & Professional Trait,Data Analysis,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Skill & Professional Trait,Data Analysis,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Skill & Professional Trait,Data Analysis,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Skill & Professional Trait,Data Analysis,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Skill & Professional Trait,Data Analysis,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Fairness & Justice,Base,Base,5
Personal Character & Ethics Trait,Fairness & Justice,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Fairness & Justice,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Fairness & Justice,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Fairness & Justice,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Fairness & Justice,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Fairness & Justice,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Fairness & Justice,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Fairness & Justice,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Fairness & Justice,9th house & lord (dharma/luck),9H lord strong & well placed (supports this trait),2
Personal Character & Ethics Trait,Fairness & Justice,9th house & lord (dharma/luck),"9H lord average, some benefic support",1
Personal Character & Ethics Trait,Fairness & Justice,9th house & lord (dharma/luck),9H lord weak or placed in 6/8/12,-1
Personal Character & Ethics Trait,Fairness & Justice,9th house & lord (dharma/luck),9H lord debilitated & heavily afflicted,-2
Personal Character & Ethics Trait,Fairness & Justice,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Personal Character & Ethics Trait,Fairness & Justice,10th house & lord (career/status),"10H lord average, some benefic support",1
Personal Character & Ethics Trait,Fairness & Justice,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Personal Character & Ethics Trait,Fairness & Justice,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Personal Character & Ethics Trait,Generosity (Compensation),Base,Base,5
Personal Character & Ethics Trait,Generosity (Compensation),Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Generosity (Compensation),Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Generosity (Compensation),Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Generosity (Compensation),Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Generosity (Compensation),Venus (love & harmony),Venus very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Generosity (Compensation),Venus (love & harmony),Venus strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Generosity (Compensation),Venus (love & harmony),Venus weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Generosity (Compensation),Venus (love & harmony),Venus very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Generosity (Compensation),Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Generosity (Compensation),Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Generosity (Compensation),Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Generosity (Compensation),Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Generosity (Compensation),2nd house & lord (values/wealth),2H lord strong & well placed (supports this trait),2
Personal Character & Ethics Trait,Generosity (Compensation),2nd house & lord (values/wealth),"2H lord average, some benefic support",1
Personal Character & Ethics Trait,Generosity (Compensation),2nd house & lord (values/wealth),2H lord weak or placed in 6/8/12,-1
Personal Character & Ethics Trait,Generosity (Compensation),2nd house & lord (values/wealth),2H lord debilitated & heavily afflicted,-2
Personal Character & Ethics Trait,Generosity (Compensation),11th house & lord (gains/networks),11H lord strong & well placed (supports this trait),2
Personal Character & Ethics Trait,Generosity (Compensation),11th house & lord (gains/networks),"11H lord average, some benefic support",1
Personal Character & Ethics Trait,Generosity (Compensation),11th house & lord (gains/networks),11H lord weak or placed in 6/8/12,-1
Personal Character & Ethics Trait,Generosity (Compensation),11th house & lord (gains/networks),11H lord debilitated & heavily afflicted,-2
Personal Character & Ethics Trait,Neutrality & Objectivity,Base,Base,5
Personal Character & Ethics Trait,Neutrality & Objectivity,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Neutrality & Objectivity,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Neutrality & Objectivity,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Neutrality & Objectivity,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Neutrality & Objectivity,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Neutrality & Objectivity,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Neutrality & Objectivity,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Neutrality & Objectivity,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Neutrality & Objectivity,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Neutrality & Objectivity,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Neutrality & Objectivity,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Neutrality & Objectivity,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Patience & Tolerance,Base,Base,5
Personal Character & Ethics Trait,Patience & Tolerance,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Patience & Tolerance,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Patience & Tolerance,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Patience & Tolerance,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Patience & Tolerance,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Patience & Tolerance,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Patience & Tolerance,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Patience & Tolerance,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Patience & Tolerance,Mars (drive & execution),Mars very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Patience & Tolerance,Mars (drive & execution),Mars strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Patience & Tolerance,Mars (drive & execution),Mars weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Patience & Tolerance,Mars (drive & execution),Mars very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Patience & Tolerance,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Patience & Tolerance,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
